phrog_num	phrog_annot	phrog_category
236	nucleotide kinase	other
237	head scaffolding protein	head and packaging
238	major tail protein	tail
239	DNA primase/helicase	"DNA, RNA and nucleotide metabolism"
240	head protein	head and packaging
241	head morphogenesis	head and packaging
242	translation repressor	other
243	DnaB-like replicative helicase	"DNA, RNA and nucleotide metabolism"
244	RusA-like Holliday junction resolvase	"DNA, RNA and nucleotide metabolism"
245	anti-repressor Ant	transcription regulation
246	NinI-like serine-threonine phosphatase	other
247	major head protein	head and packaging
248	transcriptional activator	transcription regulation
249	porphyrin biosynthesis	"moron, auxiliary metabolic gene and host takeover"
250	NA	unknown function
251	MokW-like host killing	"moron, auxiliary metabolic gene and host takeover"
252	Bet-like ssDNA annealing protein	"DNA, RNA and nucleotide metabolism"
253	Mu Gam-like end protection	"DNA, RNA and nucleotide metabolism"
254	late promoter transcriptional regulator	transcription regulation
255	exonuclease	"DNA, RNA and nucleotide metabolism"
256	DNA helicase	"DNA, RNA and nucleotide metabolism"
257	minor tail protein	tail
258	virulence associated	other
259	gam-like host nuclease inhibitor	"moron, auxiliary metabolic gene and host takeover"
260	Bor-like outer membrane protein	other
261	baseplate wedge subunit	tail
262	DNA polymerase	"DNA, RNA and nucleotide metabolism"
263	holin	lysis
264	major head protein	head and packaging
265	replication initiation protein	"DNA, RNA and nucleotide metabolism"
266	NA	unknown function
267	major head protein	head and packaging
268	NA	unknown function
269	DNA helicase loader	"DNA, RNA and nucleotide metabolism"
270	replication initiation protein	"DNA, RNA and nucleotide metabolism"
271	anti-termination protein N-like	transcription regulation
272	Cox-like excisionase and repressor	integration and excision
273	NA	unknown function
274	DNA endonuclease V	"DNA, RNA and nucleotide metabolism"
275	NA	unknown function
276	NA	unknown function
277	replication initiation O-like	"DNA, RNA and nucleotide metabolism"
278	transcriptional regulator	transcription regulation
279	tail sheath	tail
280	virion structural protein	head and packaging
281	PAAR motif of membran proteins	"moron, auxiliary metabolic gene and host takeover"
282	NA	unknown function
283	major head protein	head and packaging
284	exonuclease	"DNA, RNA and nucleotide metabolism"
285	NA	unknown function
286	NA	unknown function
287	minor tail protein	tail
288	NA	unknown function
289	GTP-binding domain	other
290	minor tail protein	tail
291	endolysin	lysis
292	NA	unknown function
293	ABC transporter	"moron, auxiliary metabolic gene and host takeover"
294	Kil protein for bacterial septation inhibition	other
295	tail fiber protein	tail
296	DNA transposition protein	integration and excision
297	holin	lysis
298	exonuclease	"DNA, RNA and nucleotide metabolism"
299	NA	unknown function
300	tail fiber protein	tail
301	secreted protein	other
302	virion structural protein	head and packaging
303	NA	unknown function
304	anti-termination protein Q-like	transcription regulation
305	tail length tape measure protein	tail
306	minor head protein Ace-like	head and packaging
307	endonuclease VII	"DNA, RNA and nucleotide metabolism"
308	internal virion protein	head and packaging
309	terminase small subunit	head and packaging
310	transposase	integration and excision
311	NA	unknown function
312	Rz-like spanin	lysis
313	Tail assembly chaperone	tail
314	homing endonuclease	"DNA, RNA and nucleotide metabolism"
315	endolysin	lysis
316	dihydrofolate reductase	"DNA, RNA and nucleotide metabolism"
317	endolysin	lysis
318	deoxyribonucleoside 5' monophosphate phosphatase	other
319	NinB/ Orf homologous recombination mediator	"DNA, RNA and nucleotide metabolism"
320	head closure Hc1	connector
321	tail completion or Neck1 protein	connector
322	NA	unknown function
323	"transcriptional regulator, D5-like"	transcription regulation
324	head morphogenesis	head and packaging
325	Dda-like helicase	"DNA, RNA and nucleotide metabolism"
326	tail protein with endopeptidase domain	other
327	tail protein	tail
328	head maturation protease	head and packaging
329	minor tail protein	tail
330	tail assembly chaperone	tail
331	NA	unknown function
332	head-tail adaptor	connector
333	HNH endonuclease	"DNA, RNA and nucleotide metabolism"
334	major head protein	head and packaging
335	phosphatase	other
336	NA	unknown function
337	tail protein	tail
338	HNH endonuclease	"DNA, RNA and nucleotide metabolism"
339	tail length tape measure protein	tail
340	NA	unknown function
341	major tail protein	tail
342	internal virion protein with endolysin domain	head and packaging
343	NA	unknown function
344	tail assembly chaperone	tail
345	replication initiation O-like	"DNA, RNA and nucleotide metabolism"
346	minor tail protein	tail
347	tail terminator	connector
348	minor head protein	head and packaging
349	virion structural protein	head and packaging
350	tail protein	tail
351	RNA polymerase sigma factor	transcription regulation
352	minor tail protein	tail
353	toxin	"moron, auxiliary metabolic gene and host takeover"
354	sigma-K factor	transcription regulation
355	nucleoside 2-deoxyribosyltransferase	"DNA, RNA and nucleotide metabolism"
356	minor tail protein	tail
357	transcriptional repressor	transcription regulation
358	NA	unknown function
359	DNA methyltransferase	other
360	DNA primase	"DNA, RNA and nucleotide metabolism"
361	terminase small subunit	head and packaging
362	transcriptional repressor	transcription regulation
363	DNA methyltransferase	other
364	ribonucleoside reductase class II	"DNA, RNA and nucleotide metabolism"
365	tail protein	tail
366	tail fiber protein	tail
367	ribonucleotide reductase	"DNA, RNA and nucleotide metabolism"
368	NA	unknown function
369	NA	unknown function
370	terminase small subunit	head and packaging
371	major head protein	head and packaging
372	tail protein	tail
373	anti-repressor	transcription regulation
374	HNH endonuclease	"DNA, RNA and nucleotide metabolism"
375	Phd-like antitoxin	"moron, auxiliary metabolic gene and host takeover"
376	tail protein	tail
377	anti-repressor Ant	transcription regulation
378	single strand DNA binding protein	"DNA, RNA and nucleotide metabolism"
379	DNA binding protein	"DNA, RNA and nucleotide metabolism"
380	endolysin	lysis
381	tail fiber protein	tail
382	minor tail protein with lysin activity	tail
383	NA	unknown function
384	virion structural protein	head and packaging
385	transcriptional regulator	transcription regulation
386	NA	unknown function
387	neck protein	connector
388	nucleotidyltransferase	"DNA, RNA and nucleotide metabolism"
389	tail protein XkdN-like	tail
390	Arc-like repressor	transcription regulation
391	replication initiation O-like	"DNA, RNA and nucleotide metabolism"
392	metal-dependent hydrolase	other
393	tail assembly chaperone	tail
394	tail protein	tail
395	cytidyltransferase	other
396	minor tail protein	tail
397	NA	unknown function
398	NA	unknown function
399	structural protein	head and packaging
400	tail protein	tail
401	NA	unknown function
402	NA	unknown function
403	DNA polymerase exonuclease subunit	"DNA, RNA and nucleotide metabolism"
404	minor tail protein	tail
405	DNA polymerase	"DNA, RNA and nucleotide metabolism"
406	NA	unknown function
407	NA	unknown function
408	NA	unknown function
409	transcriptional regulator	transcription regulation
410	NA	unknown function
411	NA	unknown function
412	exonuclease VIII	"DNA, RNA and nucleotide metabolism"
413	head protein	head and packaging
414	RNA polymerase	"DNA, RNA and nucleotide metabolism"
415	polynucleotide kinase	other
416	minor tail protein	tail
417	NA	unknown function
418	internal virion protein	head and packaging
419	NA	unknown function
420	unknown function	unknown function
421	unknown function	unknown function
422	major head protein	head and packaging
423	endonuclease VII	"DNA, RNA and nucleotide metabolism"
424	phosphoadenosine phosphosulfate reductase	"moron, auxiliary metabolic gene and host takeover"
425	membrane associated protein	"moron, auxiliary metabolic gene and host takeover"
426	terminase small subunit	head and packaging
427	NA	unknown function
428	replication initiation protein	"DNA, RNA and nucleotide metabolism"
429	DNA end protector	"DNA, RNA and nucleotide metabolism"
430	baseplate hub subunit and tail lysozyme	tail
431	NA	unknown function
432	Hsp20 heat shock protein	other
433	NA	unknown function
434	RecE-like recombination exonuclease	"DNA, RNA and nucleotide metabolism"
435	endolysin	lysis
436	NA	unknown function
437	virion structural protein	head and packaging
438	baseplate wedge subunit	tail
439	site-specific recombination directionality factor RDF	integration and excision
440	transaldolase	other
441	tail assembly chaperone	tail
442	head-tail adaptor	connector
443	holin	lysis
444	NA	unknown function
445	terminase small subunit	head and packaging
446	tail protein	tail
447	NAD synthetase	other
448	nicotinamide phosphoribosyl transferase	other
449	head-tail adaptor	connector
450	NA	unknown function
451	NA	unknown function
452	endonuclease	"DNA, RNA and nucleotide metabolism"
453	replication initiation protein	"DNA, RNA and nucleotide metabolism"
454	tail fiber protein	tail
455	NA	unknown function
456	Rz-like spanin	lysis
457	tail protein	tail
458	protease	other
459	peptidase	other
460	head closure Hc2	connector
461	NA	unknown function
462	lipoprotein	other
463	anti-repressor	transcription regulation
464	unknown function	unknown function
465	endolysin	lysis
466	exonuclease	"DNA, RNA and nucleotide metabolism"
467	NA	unknown function
468	NA	unknown function
469	tail protein	tail
470	NA	unknown function
471	methylamine utilization	other
472	WhiB transcriptional factor	transcription regulation
473	virion structural protein	head and packaging
474	phosphofructokinase	other
475	NA	unknown function
476	major tail protein	tail
477	head-tail adaptor Ad1	connector
478	site-specific recombination directionality factor RDF	integration and excision
479	NA	unknown function
480	NA	unknown function
481	NA	unknown function
482	NA	unknown function
483	NA	unknown function
484	NA	unknown function
485	NA	unknown function
486	virion structural protein	head and packaging
487	NrdD-like anaerobic ribonucleotide reductase large subunit	"moron, auxiliary metabolic gene and host takeover"
488	CpeT-like antenna protein	"moron, auxiliary metabolic gene and host takeover"
489	endolysin	lysis
490	portal protein	head and packaging
491	Mu Gam-like end protection	"DNA, RNA and nucleotide metabolism"
492	NA	unknown function
493	head-tail adaptor Ad1	connector
494	NA	unknown function
495	NA	unknown function
496	tail fiber protein	tail
497	toxin-antitoxin system HicB-like	"moron, auxiliary metabolic gene and host takeover"
498	DNA methyltransferase	other
499	NA	unknown function
500	NA	unknown function
501	head closure Hc1	connector
502	membrane protein	"moron, auxiliary metabolic gene and host takeover"
503	NA	unknown function
504	NA	unknown function
505	polynucleotide kinase	other
506	transposase	integration and excision
507	NA	unknown function
508	tail assembly chaperone	tail
509	terminase small subunit	head and packaging
510	DNA primase	"DNA, RNA and nucleotide metabolism"
511	internal virion protein	head and packaging
512	NA	unknown function
513	transposase	integration and excision
514	major head protein	head and packaging
515	PetE plastocyanine	other
516	NA	unknown function
517	HTH DNA binding protein	"DNA, RNA and nucleotide metabolism"
518	Rha-like transcriptional regulator	transcription regulation
519	NA	unknown function
520	NA	unknown function
521	tail protein	tail
522	NA	unknown function
523	tail collar fiber protein	tail
524	anti-repressor Ant	transcription regulation
525	NA	unknown function
526	holin	lysis
527	NA	unknown function
528	NA	unknown function
529	tail fiber protein	tail
530	head maturation protease	head and packaging
531	Rnase H	"DNA, RNA and nucleotide metabolism"
532	late transcriptional activator	transcription regulation
533	portal protein	head and packaging
534	DNA binding protein	"DNA, RNA and nucleotide metabolism"
535	NA	unknown function
536	transcriptional regulator	transcription regulation
537	portal protein	head and packaging
538	minor tail protein	tail
539	excisionase	integration and excision
540	nucleotide-sugar epimerase	"DNA, RNA and nucleotide metabolism"
541	head-tail adaptor	connector
542	NA	unknown function
543	DNA topoisomerase II large subunit	"DNA, RNA and nucleotide metabolism"
544	major head protein	head and packaging
545	NA	unknown function
546	NA	unknown function
547	phosphoesterase	other
548	RNA ligase	"DNA, RNA and nucleotide metabolism"
549	NA	unknown function
550	CIII anti-termination	transcription regulation
551	DNA topoisomerase II	"DNA, RNA and nucleotide metabolism"
552	NA	unknown function
553	minor tail protein	tail
554	NA	unknown function
555	NA	unknown function
556	minor head protein	head and packaging
557	outer membrane protein	other
558	NA	unknown function
559	HNH endonuclease	"DNA, RNA and nucleotide metabolism"
560	NA	unknown function
561	RecT-like ssDNA annealing protein	"DNA, RNA and nucleotide metabolism"
562	RNA ligase and tail fiber protein attachment catalyst	tail
563	virion structural protein	head and packaging
564	NA	unknown function
565	holin	lysis
566	NA	unknown function
567	NA	unknown function
568	plasmid stability	"DNA, RNA and nucleotide metabolism"
569	tail length tape measure protein	tail
570	NA	unknown function
571	NA	unknown function
572	NA	unknown function
573	NA	unknown function
