phrog_num	phrog_annot	phrog_category
70265	NA	unknown function
70266	NA	unknown function
70267	NA	unknown function
70268	NA	unknown function
70269	NA	unknown function
70270	NA	unknown function
70271	NA	unknown function
70272	NA	unknown function
70273	NA	unknown function
70274	NA	unknown function
70275	NA	unknown function
70276	NA	unknown function
70277	NA	unknown function
70278	NA	unknown function
70279	NA	unknown function
70280	NA	unknown function
70281	NA	unknown function
70282	NA	unknown function
70283	NA	unknown function
70284	NA	unknown function
70285	NA	unknown function
70286	NA	unknown function
70287	NA	unknown function
70288	NA	unknown function
70289	NA	unknown function
70290	NA	unknown function
70291	NA	unknown function
70292	NA	unknown function
70293	NA	unknown function
70294	NA	unknown function
70295	NA	unknown function
70296	NA	unknown function
70297	NA	unknown function
70298	NA	unknown function
70299	NA	unknown function
70300	NA	unknown function
70301	NA	unknown function
70302	NA	unknown function
70303	NA	unknown function
70304	NA	unknown function
70305	NA	unknown function
70306	NA	unknown function
70307	NA	unknown function
70308	NA	unknown function
70309	NA	unknown function
70310	NA	unknown function
70311	NA	unknown function
70312	NA	unknown function
70313	NA	unknown function
70314	NA	unknown function
70315	NA	unknown function
70316	NA	unknown function
70317	NA	unknown function
70318	NA	unknown function
70319	NA	unknown function
70320	NA	unknown function
70321	NA	unknown function
70322	NA	unknown function
70323	NA	unknown function
70324	NA	unknown function
70325	NA	unknown function
70326	NA	unknown function
70327	NA	unknown function
70328	NA	unknown function
70329	NA	unknown function
70330	NA	unknown function
70331	NA	unknown function
70332	NA	unknown function
70333	NA	unknown function
70334	NA	unknown function
70335	NA	unknown function
70336	NA	unknown function
70337	NA	unknown function
70338	NA	unknown function
70339	NA	unknown function
70340	NA	unknown function
70341	NA	unknown function
70342	NA	unknown function
70343	NA	unknown function
70344	NA	unknown function
70345	NA	unknown function
70346	NA	unknown function
70347	NA	unknown function
70348	NA	unknown function
70349	NA	unknown function
70350	NA	unknown function
70351	NA	unknown function
70352	NA	unknown function
70353	NA	unknown function
70354	NA	unknown function
70355	NA	unknown function
70356	NA	unknown function
70357	NA	unknown function
70358	NA	unknown function
70359	NA	unknown function
70360	NA	unknown function
70361	NA	unknown function
70362	NA	unknown function
70363	NA	unknown function
70364	NA	unknown function
70365	NA	unknown function
70366	NA	unknown function
70367	NA	unknown function
70368	NA	unknown function
70369	NA	unknown function
70370	NA	unknown function
70371	NA	unknown function
70372	NA	unknown function
70373	NA	unknown function
70374	NA	unknown function
70375	NA	unknown function
70376	NA	unknown function
70377	NA	unknown function
70378	NA	unknown function
70379	NA	unknown function
70380	NA	unknown function
70381	NA	unknown function
70382	NA	unknown function
70383	NA	unknown function
70384	NA	unknown function
70385	NA	unknown function
70386	NA	unknown function
70387	NA	unknown function
70388	NA	unknown function
70389	NA	unknown function
70390	NA	unknown function
70391	NA	unknown function
70392	NA	unknown function
70393	NA	unknown function
70394	NA	unknown function
70395	NA	unknown function
70396	NA	unknown function
70397	NA	unknown function
70398	NA	unknown function
70399	NA	unknown function
70400	NA	unknown function
70401	NA	unknown function
70402	NA	unknown function
70403	NA	unknown function
70404	NA	unknown function
70405	NA	unknown function
70406	NA	unknown function
70407	NA	unknown function
70408	NA	unknown function
70409	NA	unknown function
70410	NA	unknown function
70411	NA	unknown function
70412	NA	unknown function
70413	NA	unknown function
70414	NA	unknown function
70415	NA	unknown function
70416	NA	unknown function
70417	NA	unknown function
70418	NA	unknown function
70419	NA	unknown function
70420	NA	unknown function
70421	NA	unknown function
70422	NA	unknown function
70423	NA	unknown function
70424	NA	unknown function
70425	NA	unknown function
70426	NA	unknown function
70427	NA	unknown function
70428	NA	unknown function
70429	NA	unknown function
70430	NA	unknown function
70431	NA	unknown function
70432	NA	unknown function
70433	NA	unknown function
70434	NA	unknown function
70435	NA	unknown function
70436	NA	unknown function
70437	NA	unknown function
70438	NA	unknown function
70439	NA	unknown function
70440	NA	unknown function
70441	NA	unknown function
70442	NA	unknown function
70443	NA	unknown function
70444	NA	unknown function
70445	NA	unknown function
70446	NA	unknown function
70447	NA	unknown function
70448	NA	unknown function
70449	NA	unknown function
70450	NA	unknown function
70451	NA	unknown function
70452	NA	unknown function
70453	NA	unknown function
70454	NA	unknown function
70455	NA	unknown function
70456	NA	unknown function
70457	NA	unknown function
70458	NA	unknown function
70459	NA	unknown function
70460	NA	unknown function
70461	NA	unknown function
70462	NA	unknown function
70463	NA	unknown function
70464	NA	unknown function
70465	NA	unknown function
70466	NA	unknown function
70467	NA	unknown function
70468	NA	unknown function
70469	NA	unknown function
70470	NA	unknown function
70471	NA	unknown function
70472	NA	unknown function
70473	NA	unknown function
70474	NA	unknown function
70475	NA	unknown function
70476	NA	unknown function
70477	NA	unknown function
70478	NA	unknown function
70479	NA	unknown function
70480	NA	unknown function
70481	NA	unknown function
70482	NA	unknown function
70483	NA	unknown function
70484	NA	unknown function
70485	NA	unknown function
70486	NA	unknown function
70487	NA	unknown function
70488	NA	unknown function
70489	NA	unknown function
70490	NA	unknown function
70491	NA	unknown function
70492	NA	unknown function
70493	NA	unknown function
70494	NA	unknown function
70495	NA	unknown function
70496	NA	unknown function
70497	NA	unknown function
70498	NA	unknown function
70499	NA	unknown function
70500	NA	unknown function
70501	NA	unknown function
70502	NA	unknown function
70503	NA	unknown function
70504	NA	unknown function
70505	NA	unknown function
70506	NA	unknown function
70507	NA	unknown function
70508	NA	unknown function
70509	NA	unknown function
70510	NA	unknown function
70511	NA	unknown function
70512	NA	unknown function
70513	NA	unknown function
70514	NA	unknown function
70515	NA	unknown function
70516	NA	unknown function
70517	NA	unknown function
70518	NA	unknown function
70519	NA	unknown function
70520	NA	unknown function
70521	NA	unknown function
70522	NA	unknown function
70523	NA	unknown function
70524	NA	unknown function
70525	NA	unknown function
70526	NA	unknown function
70527	NA	unknown function
70528	NA	unknown function
70529	NA	unknown function
70530	NA	unknown function
70531	NA	unknown function
70532	NA	unknown function
70533	NA	unknown function
70534	NA	unknown function
70535	NA	unknown function
70536	NA	unknown function
70537	NA	unknown function
70538	NA	unknown function
70539	NA	unknown function
70540	NA	unknown function
70541	NA	unknown function
70542	NA	unknown function
70543	NA	unknown function
70544	NA	unknown function
70545	NA	unknown function
70546	NA	unknown function
70547	NA	unknown function
70548	NA	unknown function
70549	NA	unknown function
70550	NA	unknown function
70551	NA	unknown function
70552	NA	unknown function
70553	NA	unknown function
70554	NA	unknown function
70555	NA	unknown function
70556	NA	unknown function
70557	NA	unknown function
70558	NA	unknown function
70559	NA	unknown function
70560	NA	unknown function
70561	NA	unknown function
70562	NA	unknown function
70563	NA	unknown function
70564	NA	unknown function
70565	NA	unknown function
70566	NA	unknown function
70567	NA	unknown function
70568	NA	unknown function
70569	NA	unknown function
70570	NA	unknown function
70571	NA	unknown function
70572	NA	unknown function
70573	glycoside hydrolase	other
70574	NA	unknown function
70575	NA	unknown function
70576	NA	unknown function
70577	NA	unknown function
70578	NA	unknown function
70579	NA	unknown function
70580	NA	unknown function
70581	NA	unknown function
70582	NA	unknown function
70583	NA	unknown function
70584	NA	unknown function
70585	NA	unknown function
70586	NA	unknown function
70587	NA	unknown function
70588	NA	unknown function
70589	NA	unknown function
70590	NA	unknown function
70591	NA	unknown function
70592	NA	unknown function
70593	NA	unknown function
70594	NA	unknown function
70595	NA	unknown function
70596	NA	unknown function
70597	NA	unknown function
70598	NA	unknown function
70599	NA	unknown function
70600	NA	unknown function
70601	NA	unknown function
70602	NA	unknown function
70603	NA	unknown function
70604	NA	unknown function
70605	NA	unknown function
70606	NA	unknown function
70607	tail length tape measure protein	tail
70608	NA	unknown function
70609	NA	unknown function
70610	NA	unknown function
70611	NA	unknown function
70612	NA	unknown function
70613	NA	unknown function
70614	NA	unknown function
70615	NA	unknown function
70616	NA	unknown function
70617	NA	unknown function
70618	NA	unknown function
70619	NA	unknown function
70620	NA	unknown function
70621	NA	unknown function
70622	NA	unknown function
70623	NA	unknown function
70624	NA	unknown function
70625	NA	unknown function
70626	NA	unknown function
70627	NA	unknown function
70628	NA	unknown function
70629	NA	unknown function
70630	NA	unknown function
70631	NA	unknown function
70632	NA	unknown function
70633	NA	unknown function
70634	NA	unknown function
70635	NA	unknown function
70636	NA	unknown function
70637	NA	unknown function
70638	NA	unknown function
70639	NA	unknown function
70640	NA	unknown function
70641	NA	unknown function
70642	NA	unknown function
70643	NA	unknown function
70644	NA	unknown function
70645	NA	unknown function
70646	NA	unknown function
70647	NA	unknown function
70648	NA	unknown function
70649	NA	unknown function
70650	NA	unknown function
70651	NA	unknown function
70652	NA	unknown function
70653	NA	unknown function
70654	NA	unknown function
70655	NA	unknown function
70656	NA	unknown function
70657	NA	unknown function
70658	NA	unknown function
70659	NA	unknown function
70660	NA	unknown function
70661	NA	unknown function
70662	NA	unknown function
70663	NA	unknown function
70664	NA	unknown function
70665	NA	unknown function
70666	NA	unknown function
70667	NA	unknown function
70668	NA	unknown function
70669	NA	unknown function
70670	NA	unknown function
70671	NA	unknown function
70672	NA	unknown function
70673	NA	unknown function
70674	NA	unknown function
70675	NA	unknown function
70676	NA	unknown function
70677	NA	unknown function
70678	NA	unknown function
70679	NA	unknown function
70680	NA	unknown function
70681	NA	unknown function
70682	NA	unknown function
70683	NA	unknown function
70684	NA	unknown function
70685	NA	unknown function
70686	NA	unknown function
70687	NA	unknown function
70688	NA	unknown function
70689	NA	unknown function
70690	NA	unknown function
70691	NA	unknown function
70692	NA	unknown function
70693	NA	unknown function
70694	NA	unknown function
70695	NA	unknown function
70696	NA	unknown function
70697	NA	unknown function
70698	NA	unknown function
70699	NA	unknown function
70700	NA	unknown function
70701	NA	unknown function
70702	NA	unknown function
70703	NA	unknown function
70704	NA	unknown function
70705	NA	unknown function
70706	NA	unknown function
70707	NA	unknown function
70708	NA	unknown function
70709	NA	unknown function
70710	NA	unknown function
70711	NA	unknown function
70712	NA	unknown function
70713	NA	unknown function
70714	NA	unknown function
70715	NA	unknown function
70716	NA	unknown function
70717	NA	unknown function
70718	NA	unknown function
70719	NA	unknown function
70720	NA	unknown function
70721	NA	unknown function
70722	NA	unknown function
70723	NA	unknown function
70724	NA	unknown function
70725	NA	unknown function
70726	NA	unknown function
70727	NA	unknown function
70728	NA	unknown function
70729	NA	unknown function
70730	NA	unknown function
70731	NA	unknown function
70732	NA	unknown function
70733	NA	unknown function
70734	NA	unknown function
70735	NA	unknown function
70736	NA	unknown function
70737	NA	unknown function
70738	NA	unknown function
70739	NA	unknown function
70740	NA	unknown function
70741	NA	unknown function
70742	NA	unknown function
70743	NA	unknown function
70744	NA	unknown function
70745	NA	unknown function
70746	NA	unknown function
70747	NA	unknown function
70748	NA	unknown function
70749	NA	unknown function
70750	NA	unknown function
70751	NA	unknown function
70752	NA	unknown function
70753	NA	unknown function
70754	NA	unknown function
70755	NA	unknown function
70756	virion structural protein	head and packaging
70757	NA	unknown function
70758	NA	unknown function
70759	NA	unknown function
70760	NA	unknown function
70761	NA	unknown function
70762	NA	unknown function
70763	NA	unknown function
70764	NA	unknown function
70765	NA	unknown function
70766	NA	unknown function
70767	NA	unknown function
70768	NA	unknown function
70769	NA	unknown function
70770	NA	unknown function
70771	NA	unknown function
70772	NA	unknown function
70773	NA	unknown function
70774	NA	unknown function
70775	NA	unknown function
70776	NA	unknown function
70777	NA	unknown function
70778	NA	unknown function
70779	NA	unknown function
70780	NA	unknown function
70781	NA	unknown function
70782	NA	unknown function
70783	NA	unknown function
70784	NA	unknown function
70785	NA	unknown function
70786	CRISPR/Cas system associated	"DNA, RNA and nucleotide metabolism"
70787	NA	unknown function
70788	NA	unknown function
70789	NA	unknown function
70790	NA	unknown function
70791	NA	unknown function
70792	NA	unknown function
70793	NA	unknown function
70794	NA	unknown function
70795	nuclease	"DNA, RNA and nucleotide metabolism"
70796	NA	unknown function
70797	NA	unknown function
70798	NA	unknown function
70799	NA	unknown function
70800	NA	unknown function
70801	NA	unknown function
70802	NA	unknown function
70803	NA	unknown function
70804	NA	unknown function
70805	NA	unknown function
70806	NA	unknown function
70807	NA	unknown function
70808	NA	unknown function
70809	NA	unknown function
70810	NA	unknown function
70811	NA	unknown function
70812	NA	unknown function
70813	NA	unknown function
70814	NA	unknown function
70815	NA	unknown function
70816	NA	unknown function
70817	NA	unknown function
70818	NA	unknown function
70819	NA	unknown function
70820	NA	unknown function
70821	NA	unknown function
70822	NA	unknown function
70823	NA	unknown function
70824	NA	unknown function
70825	NA	unknown function
70826	NA	unknown function
70827	NA	unknown function
70828	NA	unknown function
70829	NA	unknown function
70830	NA	unknown function
70831	NA	unknown function
70832	NA	unknown function
70833	NA	unknown function
70834	NA	unknown function
70835	NA	unknown function
70836	NA	unknown function
70837	NA	unknown function
70838	NA	unknown function
70839	NA	unknown function
70840	NA	unknown function
70841	NA	unknown function
70842	NA	unknown function
70843	NA	unknown function
70844	NA	unknown function
70845	NA	unknown function
70846	NA	unknown function
70847	NA	unknown function
70848	NA	unknown function
70849	NA	unknown function
70850	NA	unknown function
70851	NA	unknown function
70852	NA	unknown function
70853	NA	unknown function
70854	NA	unknown function
70855	NA	unknown function
70856	NA	unknown function
70857	NA	unknown function
70858	NA	unknown function
70859	NA	unknown function
70860	NA	unknown function
70861	NA	unknown function
70862	NA	unknown function
70863	NA	unknown function
70864	NA	unknown function
70865	NA	unknown function
70866	NA	unknown function
70867	NA	unknown function
70868	NA	unknown function
70869	NA	unknown function
70870	NA	unknown function
70871	NA	unknown function
70872	NA	unknown function
70873	NA	unknown function
70874	NA	unknown function
70875	NA	unknown function
70876	NA	unknown function
70877	NA	unknown function
70878	NA	unknown function
70879	NA	unknown function
70880	NA	unknown function
70881	NA	unknown function
70882	NA	unknown function
70883	NA	unknown function
70884	NA	unknown function
70885	NA	unknown function
70886	NA	unknown function
70887	NA	unknown function
70888	NA	unknown function
70889	NA	unknown function
70890	NA	unknown function
70891	NA	unknown function
70892	NA	unknown function
70893	NA	unknown function
70894	NA	unknown function
70895	NA	unknown function
70896	NA	unknown function
70897	NA	unknown function
70898	NA	unknown function
70899	NA	unknown function
70900	NA	unknown function
70901	NA	unknown function
70902	NA	unknown function
70903	NA	unknown function
70904	NA	unknown function
70905	NA	unknown function
70906	NA	unknown function
70907	NA	unknown function
70908	NA	unknown function
70909	NA	unknown function
70910	NA	unknown function
70911	NA	unknown function
70912	NA	unknown function
70913	NA	unknown function
70914	NA	unknown function
70915	NA	unknown function
70916	NA	unknown function
70917	NA	unknown function
70918	NA	unknown function
70919	NA	unknown function
70920	NA	unknown function
70921	NA	unknown function
70922	NA	unknown function
70923	NA	unknown function
70924	NA	unknown function
70925	NA	unknown function
70926	NA	unknown function
70927	NA	unknown function
70928	NA	unknown function
70929	NA	unknown function
70930	NA	unknown function
70931	NA	unknown function
70932	NA	unknown function
70933	NA	unknown function
70934	NA	unknown function
70935	NA	unknown function
70936	NA	unknown function
70937	NA	unknown function
70938	NA	unknown function
70939	NA	unknown function
70940	NA	unknown function
70941	NA	unknown function
70942	NA	unknown function
70943	NA	unknown function
70944	NA	unknown function
70945	NA	unknown function
70946	NA	unknown function
70947	NA	unknown function
70948	NA	unknown function
70949	NA	unknown function
70950	NA	unknown function
70951	NA	unknown function
70952	NA	unknown function
70953	NA	unknown function
70954	NA	unknown function
70955	NA	unknown function
70956	NA	unknown function
70957	NA	unknown function
70958	NA	unknown function
70959	NA	unknown function
70960	NA	unknown function
70961	NA	unknown function
70962	NA	unknown function
70963	NA	unknown function
70964	NA	unknown function
70965	NA	unknown function
70966	NA	unknown function
70967	NA	unknown function
70968	NA	unknown function
70969	NA	unknown function
70970	NA	unknown function
70971	NA	unknown function
70972	NA	unknown function
70973	NA	unknown function
70974	NA	unknown function
70975	NA	unknown function
70976	NA	unknown function
70977	NA	unknown function
70978	NA	unknown function
70979	NA	unknown function
70980	NA	unknown function
70981	NA	unknown function
70982	NA	unknown function
70983	NA	unknown function
70984	NA	unknown function
70985	NA	unknown function
70986	NA	unknown function
70987	NA	unknown function
70988	NA	unknown function
70989	NA	unknown function
70990	NA	unknown function
70991	NA	unknown function
70992	NA	unknown function
70993	NA	unknown function
70994	NA	unknown function
70995	NA	unknown function
70996	NA	unknown function
70997	NA	unknown function
70998	NA	unknown function
70999	NA	unknown function
71000	NA	unknown function
71001	NA	unknown function
71002	NA	unknown function
71003	NA	unknown function
71004	NA	unknown function
71005	NA	unknown function
71006	NA	unknown function
71007	NA	unknown function
71008	NA	unknown function
71009	NA	unknown function
71010	NA	unknown function
71011	NA	unknown function
71012	NA	unknown function
71013	NA	unknown function
71014	NA	unknown function
71015	NA	unknown function
71016	NA	unknown function
71017	NA	unknown function
71018	NA	unknown function
71019	NA	unknown function
71020	NA	unknown function
71021	NA	unknown function
71022	NA	unknown function
71023	NA	unknown function
71024	NA	unknown function
71025	NA	unknown function
71026	NA	unknown function
71027	NA	unknown function
71028	NA	unknown function
71029	NA	unknown function
71030	NA	unknown function
71031	NA	unknown function
71032	NA	unknown function
71033	NA	unknown function
71034	tail fiber protein	tail
71035	NA	unknown function
71036	NA	unknown function
71037	NA	unknown function
71038	NA	unknown function
71039	NA	unknown function
71040	NA	unknown function
71041	NA	unknown function
71042	NA	unknown function
71043	NA	unknown function
71044	NA	unknown function
71045	NA	unknown function
71046	NA	unknown function
71047	NA	unknown function
71048	NA	unknown function
71049	NA	unknown function
71050	NA	unknown function
71051	NA	unknown function
71052	NA	unknown function
71053	NA	unknown function
71054	NA	unknown function
71055	NA	unknown function
71056	NA	unknown function
71057	NA	unknown function
71058	NA	unknown function
71059	NA	unknown function
71060	NA	unknown function
71061	NA	unknown function
71062	NA	unknown function
71063	NA	unknown function
71064	NA	unknown function
71065	NA	unknown function
71066	NA	unknown function
71067	NA	unknown function
71068	NA	unknown function
71069	NA	unknown function
71070	NA	unknown function
71071	NA	unknown function
71072	NA	unknown function
71073	NA	unknown function
71074	NA	unknown function
71075	NA	unknown function
71076	NA	unknown function
71077	NA	unknown function
71078	NA	unknown function
71079	NA	unknown function
71080	NA	unknown function
71081	NA	unknown function
71082	NA	unknown function
71083	NA	unknown function
71084	NA	unknown function
71085	NA	unknown function
71086	NA	unknown function
71087	NA	unknown function
71088	NA	unknown function
71089	NA	unknown function
71090	NA	unknown function
71091	NA	unknown function
71092	NA	unknown function
71093	NA	unknown function
71094	NA	unknown function
71095	NA	unknown function
71096	NA	unknown function
71097	NA	unknown function
71098	NA	unknown function
71099	NA	unknown function
71100	NA	unknown function
71101	NA	unknown function
71102	NA	unknown function
71103	NA	unknown function
71104	NA	unknown function
71105	NA	unknown function
71106	NA	unknown function
71107	NA	unknown function
71108	NA	unknown function
71109	NA	unknown function
71110	NA	unknown function
71111	NA	unknown function
71112	NA	unknown function
71113	NA	unknown function
71114	NA	unknown function
71115	NA	unknown function
71116	NA	unknown function
71117	NA	unknown function
71118	NA	unknown function
71119	NA	unknown function
71120	NA	unknown function
71121	NA	unknown function
71122	NA	unknown function
71123	NA	unknown function
71124	NA	unknown function
71125	NA	unknown function
71126	NA	unknown function
71127	NA	unknown function
71128	NA	unknown function
71129	NA	unknown function
71130	NA	unknown function
71131	NA	unknown function
71132	NA	unknown function
71133	NA	unknown function
71134	NA	unknown function
71135	NA	unknown function
71136	NA	unknown function
71137	NA	unknown function
71138	NA	unknown function
71139	NA	unknown function
71140	NA	unknown function
71141	NA	unknown function
71142	NA	unknown function
71143	NA	unknown function
71144	NA	unknown function
71145	NA	unknown function
71146	NA	unknown function
71147	NA	unknown function
71148	NA	unknown function
71149	NA	unknown function
71150	NA	unknown function
71151	NA	unknown function
71152	NA	unknown function
71153	NA	unknown function
71154	NA	unknown function
71155	NA	unknown function
71156	NA	unknown function
71157	NA	unknown function
71158	NA	unknown function
71159	NA	unknown function
71160	NA	unknown function
71161	NA	unknown function
71162	NA	unknown function
71163	NA	unknown function
71164	NA	unknown function
71165	NA	unknown function
71166	NA	unknown function
71167	NA	unknown function
71168	NA	unknown function
71169	NA	unknown function
71170	NA	unknown function
71171	NA	unknown function
71172	NA	unknown function
71173	NA	unknown function
71174	NA	unknown function
71175	NA	unknown function
71176	NA	unknown function
71177	NA	unknown function
71178	NA	unknown function
71179	NA	unknown function
71180	NA	unknown function
71181	NA	unknown function
71182	NA	unknown function
71183	NA	unknown function
71184	NA	unknown function
71185	NA	unknown function
71186	NA	unknown function
71187	NA	unknown function
71188	NA	unknown function
71189	NA	unknown function
71190	NA	unknown function
71191	NA	unknown function
71192	NA	unknown function
71193	NA	unknown function
71194	NA	unknown function
71195	NA	unknown function
71196	NA	unknown function
71197	NA	unknown function
71198	NA	unknown function
71199	NA	unknown function
71200	NA	unknown function
71201	NA	unknown function
71202	NA	unknown function
71203	NA	unknown function
71204	NA	unknown function
71205	NA	unknown function
71206	NA	unknown function
71207	NA	unknown function
71208	NA	unknown function
71209	NA	unknown function
71210	NA	unknown function
71211	NA	unknown function
71212	NA	unknown function
71213	NA	unknown function
71214	NA	unknown function
71215	NA	unknown function
71216	NA	unknown function
71217	NA	unknown function
71218	NA	unknown function
71219	NA	unknown function
71220	NA	unknown function
71221	NA	unknown function
71222	NA	unknown function
71223	NA	unknown function
71224	NA	unknown function
71225	NA	unknown function
71226	NA	unknown function
71227	NA	unknown function
71228	NA	unknown function
71229	NA	unknown function
71230	NA	unknown function
71231	NA	unknown function
71232	NA	unknown function
71233	NA	unknown function
71234	NA	unknown function
71235	NA	unknown function
71236	NA	unknown function
71237	NA	unknown function
71238	NA	unknown function
71239	NA	unknown function
71240	NA	unknown function
71241	NA	unknown function
71242	NA	unknown function
71243	NA	unknown function
71244	NA	unknown function
71245	NA	unknown function
71246	NA	unknown function
71247	NA	unknown function
71248	NA	unknown function
71249	NA	unknown function
71250	NA	unknown function
71251	NA	unknown function
71252	NA	unknown function
71253	NA	unknown function
71254	NA	unknown function
71255	NA	unknown function
71256	NA	unknown function
71257	NA	unknown function
71258	NA	unknown function
71259	NA	unknown function
71260	NA	unknown function
71261	NA	unknown function
71262	NA	unknown function
71263	NA	unknown function
71264	NA	unknown function
71265	NA	unknown function
71266	NA	unknown function
71267	NA	unknown function
71268	NA	unknown function
71269	NA	unknown function
71270	NA	unknown function
71271	NA	unknown function
71272	NA	unknown function
71273	NA	unknown function
71274	NA	unknown function
71275	NA	unknown function
71276	NA	unknown function
71277	NA	unknown function
71278	NA	unknown function
71279	NA	unknown function
71280	NA	unknown function
71281	NA	unknown function
71282	NA	unknown function
71283	NA	unknown function
71284	NA	unknown function
71285	NA	unknown function
71286	NA	unknown function
71287	NA	unknown function
71288	NA	unknown function
71289	NA	unknown function
71290	NA	unknown function
71291	NA	unknown function
71292	NA	unknown function
71293	NA	unknown function
71294	NA	unknown function
71295	NA	unknown function
71296	NA	unknown function
71297	NA	unknown function
71298	NA	unknown function
71299	NA	unknown function
71300	NA	unknown function
71301	NA	unknown function
71302	NA	unknown function
71303	NA	unknown function
71304	NA	unknown function
71305	NA	unknown function
71306	NA	unknown function
71307	NA	unknown function
71308	NA	unknown function
71309	NA	unknown function
71310	NA	unknown function
71311	NA	unknown function
71312	NA	unknown function
71313	NA	unknown function
71314	NA	unknown function
71315	NA	unknown function
71316	NA	unknown function
71317	NA	unknown function
71318	NA	unknown function
71319	NA	unknown function
71320	NA	unknown function
71321	NA	unknown function
71322	NA	unknown function
71323	NA	unknown function
71324	NA	unknown function
71325	NA	unknown function
71326	NA	unknown function
71327	NA	unknown function
71328	NA	unknown function
71329	NA	unknown function
71330	NA	unknown function
71331	NA	unknown function
71332	NA	unknown function
71333	NA	unknown function
71334	NA	unknown function
71335	NA	unknown function
71336	NA	unknown function
71337	NA	unknown function
71338	NA	unknown function
71339	NA	unknown function
71340	NA	unknown function
71341	NA	unknown function
71342	NA	unknown function
71343	NA	unknown function
71344	NA	unknown function
71345	NA	unknown function
71346	NA	unknown function
71347	NA	unknown function
71348	NA	unknown function
71349	NA	unknown function
71350	NA	unknown function
71351	NA	unknown function
71352	NA	unknown function
71353	NA	unknown function
71354	NA	unknown function
71355	NA	unknown function
71356	NA	unknown function
71357	NA	unknown function
71358	NA	unknown function
71359	NA	unknown function
71360	NA	unknown function
71361	NA	unknown function
71362	NA	unknown function
71363	NA	unknown function
71364	NA	unknown function
71365	NA	unknown function
71366	NA	unknown function
71367	NA	unknown function
71368	NA	unknown function
71369	NA	unknown function
71370	NA	unknown function
71371	NA	unknown function
71372	NA	unknown function
71373	NA	unknown function
71374	NA	unknown function
71375	NA	unknown function
71376	NA	unknown function
71377	NA	unknown function
71378	NA	unknown function
71379	NA	unknown function
71380	NA	unknown function
71381	NA	unknown function
71382	NA	unknown function
71383	NA	unknown function
71384	NA	unknown function
71385	NA	unknown function
71386	NA	unknown function
71387	NA	unknown function
71388	NA	unknown function
71389	NA	unknown function
71390	NA	unknown function
71391	NA	unknown function
71392	NA	unknown function
71393	NA	unknown function
71394	NA	unknown function
71395	NA	unknown function
71396	NA	unknown function
71397	NA	unknown function
71398	NA	unknown function
71399	NA	unknown function
71400	NA	unknown function
71401	NA	unknown function
71402	NA	unknown function
71403	NA	unknown function
71404	NA	unknown function
71405	NA	unknown function
71406	NA	unknown function
71407	NA	unknown function
71408	NA	unknown function
71409	NA	unknown function
71410	NA	unknown function
71411	NA	unknown function
71412	NA	unknown function
71413	NA	unknown function
71414	NA	unknown function
71415	NA	unknown function
71416	NA	unknown function
71417	NA	unknown function
71418	NA	unknown function
71419	NA	unknown function
71420	NA	unknown function
71421	NA	unknown function
71422	NA	unknown function
71423	NA	unknown function
71424	NA	unknown function
71425	NA	unknown function
71426	NA	unknown function
71427	NA	unknown function
71428	NA	unknown function
71429	NA	unknown function
71430	NA	unknown function
71431	NA	unknown function
71432	NA	unknown function
71433	NA	unknown function
71434	NA	unknown function
71435	NA	unknown function
71436	NA	unknown function
71437	NA	unknown function
71438	NA	unknown function
71439	NA	unknown function
71440	NA	unknown function
71441	NA	unknown function
71442	NA	unknown function
71443	NA	unknown function
71444	NA	unknown function
71445	NA	unknown function
71446	NA	unknown function
71447	NA	unknown function
71448	NA	unknown function
71449	NA	unknown function
71450	NA	unknown function
71451	NA	unknown function
71452	NA	unknown function
71453	NA	unknown function
71454	NA	unknown function
71455	NA	unknown function
71456	NA	unknown function
71457	NA	unknown function
71458	NA	unknown function
71459	NA	unknown function
71460	NA	unknown function
71461	NA	unknown function
71462	NA	unknown function
71463	NA	unknown function
71464	NA	unknown function
71465	NA	unknown function
71466	NA	unknown function
71467	NA	unknown function
71468	NA	unknown function
71469	NA	unknown function
71470	NA	unknown function
71471	NA	unknown function
71472	NA	unknown function
71473	NA	unknown function
71474	NA	unknown function
71475	NA	unknown function
71476	NA	unknown function
71477	NA	unknown function
71478	NA	unknown function
71479	NA	unknown function
71480	NA	unknown function
71481	NA	unknown function
71482	NA	unknown function
71483	NA	unknown function
71484	NA	unknown function
71485	NA	unknown function
71486	NA	unknown function
71487	NA	unknown function
71488	NA	unknown function
71489	NA	unknown function
71490	NA	unknown function
71491	NA	unknown function
71492	NA	unknown function
71493	NA	unknown function
71494	NA	unknown function
71495	NA	unknown function
71496	NA	unknown function
71497	NA	unknown function
71498	NA	unknown function
71499	NA	unknown function
71500	NA	unknown function
71501	NA	unknown function
71502	NA	unknown function
71503	NA	unknown function
71504	NA	unknown function
71505	NA	unknown function
71506	NA	unknown function
71507	NA	unknown function
71508	NA	unknown function
71509	terminase small subunit	head and packaging
71510	NA	unknown function
71511	NA	unknown function
71512	NA	unknown function
71513	NA	unknown function
71514	NA	unknown function
71515	NA	unknown function
71516	NA	unknown function
71517	NA	unknown function
71518	NA	unknown function
71519	NA	unknown function
71520	NA	unknown function
71521	NA	unknown function
71522	NA	unknown function
71523	NA	unknown function
71524	NA	unknown function
71525	NA	unknown function
71526	NA	unknown function
71527	NA	unknown function
71528	NA	unknown function
71529	NA	unknown function
